time,data
2023/07/13 14:48:03.626579124,3.97MB
2023/07/13 14:48:08.430564948,5.09MB
2023/07/13 14:48:13.858783919,4.88MB
2023/07/13 14:48:18.899541595,5.19MB
2023/07/13 14:48:23.848327232,4.87MB
2023/07/13 14:48:28.908103825,4.85MB
2023/07/13 14:48:33.539985093,4.82MB
2023/07/13 14:48:38.477827700,4.87MB
2023/07/13 14:48:43.476596902,5.26MB
2023/07/13 14:48:46.16049237,5.31MB
