time,header,status,latitude,longitude,altitude,position_covariance,position_covariance_type
2023/07/13 14:47:56.543963523,"{'stamp': {'secs': 1689252476, 'nsecs': 534278593}, 'frame_id': 'base_link'}","{'status': 0, 'service': 1}",55.4699754,10.3295515,54.540560102307005,{'': ''},2
2023/07/13 14:47:56.636127209,"{'stamp': {'secs': 1689252476, 'nsecs': 632330862}, 'frame_id': 'base_link'}","{'status': 0, 'service': 1}",55.4699754,10.3295515,54.550560102307,{'': ''},2
2023/07/13 14:47:56.731002772,"{'stamp': {'secs': 1689252476, 'nsecs': 730098115}, 'frame_id': 'base_link'}","{'status': 0, 'service': 1}",55.4699754,10.3295515,54.550560102307,{'': ''},2
2023/07/13 14:47:56.833599620,"{'stamp': {'secs': 1689252476, 'nsecs': 829724385}, 'frame_id': 'base_link'}","{'status': 0, 'service': 1}",55.4699754,10.3295516,54.55055993660581,{'': ''},2
2023/07/13 14:47:56.934660614,"{'stamp': {'secs': 1689252476, 'nsecs': 931114190}, 'frame_id': 'base_link'}","{'status': 0, 'service': 1}",55.4699754,10.3295516,54.55055993660581,{'': ''},2
2023/07/13 14:47:57.29631106,"{'stamp': {'secs': 1689252477, 'nsecs': 28708672}, 'frame_id': 'base_link'}","{'status': 0, 'service': 1}",55.4699754,10.3295517,54.55055977090462,{'': ''},2
2023/07/13 14:47:57.134960290,"{'stamp': {'secs': 1689252477, 'nsecs': 130106102}, 'frame_id': 'base_link'}","{'status': 0, 'service': 1}",55.4699754,10.3295517,54.55055977090462,{'': ''},2
2023/07/13 14:47:57.231596292,"{'stamp': {'secs': 1689252477, 'nsecs': 230217066}, 'frame_id': 'base_link'}","{'status': 0, 'service': 1}",55.4699755,10.3295517,54.55055961718888,{'': ''},2
2023/07/13 14:47:57.333315423,"{'stamp': {'secs': 1689252477, 'nsecs': 330771617}, 'frame_id': 'base_link'}","{'status': 0, 'service': 1}",55.4699755,10.3295518,54.550559451487665,{'': ''},2
2023/07/13 14:47:57.431194818,"{'stamp': {'secs': 1689252477, 'nsecs': 429763296}, 'frame_id': 'base_link'}","{'status': 0, 'service': 1}",55.4699755,10.3295518,54.550559451487665,{'': ''},2
2023/07/13 14:47:57.532098532,"{'stamp': {'secs': 1689252477, 'nsecs': 530955100}, 'frame_id': 'base_link'}","{'status': 0, 'service': 1}",55.4699755,10.3295518,54.550559451487665,{'': ''},2
2023/07/13 14:47:57.635296721,"{'stamp': {'secs': 1689252477, 'nsecs': 631734297}, 'frame_id': 'base_link'}","{'status': 0, 'service': 1}",55.4699755,10.3295519,54.550559285786434,{'': ''},2
2023/07/13 14:47:57.732593252,"{'stamp': {'secs': 1689252477, 'nsecs': 731656540}, 'frame_id': 'base_link'}","{'status': 0, 'service': 1}",55.4699755,10.3295519,54.550559285786434,{'': ''},2
2023/07/13 14:47:57.835960865,"{'stamp': {'secs': 1689252477, 'nsecs': 831862669}, 'frame_id': 'base_link'}","{'status': 0, 'service': 1}",55.4699756,10.3295519,54.550559132070646,{'': ''},2
2023/07/13 14:47:57.933006140,"{'stamp': {'secs': 1689252477, 'nsecs': 930975236}, 'frame_id': 'base_link'}","{'status': 0, 'service': 1}",55.4699756,10.3295519,54.54055913207065,{'': ''},2
2023/07/13 14:47:58.33399234,"{'stamp': {'secs': 1689252478, 'nsecs': 31736511}, 'frame_id': 'base_link'}","{'status': 0, 'service': 1}",55.4699756,10.329552,54.54055896636944,{'': ''},2
2023/07/13 14:47:58.136873935,"{'stamp': {'secs': 1689252478, 'nsecs': 130611928}, 'frame_id': 'base_link'}","{'status': 0, 'service': 1}",55.4699756,10.329552,54.54055896636944,{'': ''},2
2023/07/13 14:47:58.231001569,"{'stamp': {'secs': 1689252478, 'nsecs': 229870266}, 'frame_id': 'base_link'}","{'status': 0, 'service': 1}",55.4699756,10.329552,54.54055896636944,{'': ''},2
2023/07/13 14:47:58.334106958,"{'stamp': {'secs': 1689252478, 'nsecs': 329733654}, 'frame_id': 'base_link'}","{'status': 0, 'service': 1}",55.4699756,10.3295521,54.54055880066819,{'': ''},2
2023/07/13 14:47:58.431163524,"{'stamp': {'secs': 1689252478, 'nsecs': 428525052}, 'frame_id': 'base_link'}","{'status': 0, 'service': 1}",55.4699757,10.3295521,54.54055864695238,{'': ''},2
2023/07/13 14:47:58.541255597,"{'stamp': {'secs': 1689252478, 'nsecs': 530127384}, 'frame_id': 'base_link'}","{'status': 0, 'service': 1}",55.4699757,10.3295522,54.5405584812511,{'': ''},2
2023/07/13 14:47:58.632023527,"{'stamp': {'secs': 1689252478, 'nsecs': 631367849}, 'frame_id': 'base_link'}","{'status': 0, 'service': 1}",55.4699757,10.3295522,54.5405584812511,{'': ''},2
2023/07/13 14:47:58.733228326,"{'stamp': {'secs': 1689252478, 'nsecs': 730642928}, 'frame_id': 'base_link'}","{'status': 0, 'service': 1}",55.4699757,10.3295523,54.550558315549864,{'': ''},2
2023/07/13 14:47:58.829523770,"{'stamp': {'secs': 1689252478, 'nsecs': 828508800}, 'frame_id': 'base_link'}","{'status': 0, 'service': 1}",55.4699757,10.3295523,54.550558315549864,{'': ''},2
2023/07/13 14:47:58.935061930,"{'stamp': {'secs': 1689252478, 'nsecs': 932865046}, 'frame_id': 'base_link'}","{'status': 0, 'service': 1}",55.4699757,10.3295524,54.550558149848584,{'': ''},2
2023/07/13 14:47:59.32184944,"{'stamp': {'secs': 1689252479, 'nsecs': 30378555}, 'frame_id': 'base_link'}","{'status': 0, 'service': 1}",55.4699757,10.3295524,54.550558149848584,{'': ''},2
2023/07/13 14:47:59.133365794,"{'stamp': {'secs': 1689252479, 'nsecs': 130364640}, 'frame_id': 'base_link'}","{'status': 0, 'service': 1}",55.4699757,10.3295525,54.55055798414731,{'': ''},2
2023/07/13 14:47:59.234699994,"{'stamp': {'secs': 1689252479, 'nsecs': 231231679}, 'frame_id': 'base_link'}","{'status': 0, 'service': 1}",55.4699757,10.3295525,54.55055798414731,{'': ''},2
2023/07/13 14:47:59.333694885,"{'stamp': {'secs': 1689252479, 'nsecs': 331507575}, 'frame_id': 'base_link'}","{'status': 0, 'service': 1}",55.4699757,10.3295525,54.55055798414731,{'': ''},2
2023/07/13 14:47:59.430997314,"{'stamp': {'secs': 1689252479, 'nsecs': 430245488}, 'frame_id': 'base_link'}","{'status': 0, 'service': 1}",55.4699757,10.3295526,54.56055781844606,{'': ''},2
2023/07/13 14:47:59.532592419,"{'stamp': {'secs': 1689252479, 'nsecs': 530481608}, 'frame_id': 'base_link'}","{'status': 0, 'service': 1}",55.4699757,10.3295526,54.56055781844606,{'': ''},2
2023/07/13 14:47:59.631806641,"{'stamp': {'secs': 1689252479, 'nsecs': 630497840}, 'frame_id': 'base_link'}","{'status': 0, 'service': 1}",55.4699757,10.3295527,54.55055765274478,{'': ''},2
2023/07/13 14:47:59.735685018,"{'stamp': {'secs': 1689252479, 'nsecs': 729151736}, 'frame_id': 'base_link'}","{'status': 0, 'service': 1}",55.4699757,10.3295528,54.550557487043484,{'': ''},2
2023/07/13 14:47:59.830363604,"{'stamp': {'secs': 1689252479, 'nsecs': 827938574}, 'frame_id': 'base_link'}","{'status': 0, 'service': 1}",55.4699757,10.3295529,54.55055732134218,{'': ''},2
2023/07/13 14:47:59.933658098,"{'stamp': {'secs': 1689252479, 'nsecs': 931644360}, 'frame_id': 'base_link'}","{'status': 0, 'service': 1}",55.4699757,10.3295529,54.55055732134218,{'': ''},2
2023/07/13 14:48:00.30915698,"{'stamp': {'secs': 1689252480, 'nsecs': 29791061}, 'frame_id': 'base_link'}","{'status': 0, 'service': 1}",55.4699758,10.3295531,54.54055683622369,{'': ''},2
2023/07/13 14:48:00.134734126,"{'stamp': {'secs': 1689252480, 'nsecs': 131129571}, 'frame_id': 'base_link'}","{'status': 0, 'service': 1}",55.4699758,10.3295531,54.54055683622369,{'': ''},2
2023/07/13 14:48:00.234687466,"{'stamp': {'secs': 1689252480, 'nsecs': 231819903}, 'frame_id': 'base_link'}","{'status': 0, 'service': 1}",55.4699759,10.3295533,54.54055635110513,{'': ''},2
2023/07/13 14:48:00.333794648,"{'stamp': {'secs': 1689252480, 'nsecs': 330822642}, 'frame_id': 'base_link'}","{'status': 0, 'service': 1}",55.4699759,10.3295533,54.54055635110513,{'': ''},2
2023/07/13 14:48:00.432299262,"{'stamp': {'secs': 1689252480, 'nsecs': 427074687}, 'frame_id': 'base_link'}","{'status': 0, 'service': 1}",55.4699759,10.3295534,54.530556185403796,{'': ''},2
2023/07/13 14:48:00.531728421,"{'stamp': {'secs': 1689252480, 'nsecs': 528307383}, 'frame_id': 'base_link'}","{'status': 0, 'service': 1}",55.4699759,10.3295535,54.530556019702445,{'': ''},2
2023/07/13 14:48:00.630074815,"{'stamp': {'secs': 1689252480, 'nsecs': 628807717}, 'frame_id': 'base_link'}","{'status': 0, 'service': 1}",55.4699759,10.3295535,54.530556019702445,{'': ''},2
2023/07/13 14:48:00.735417376,"{'stamp': {'secs': 1689252480, 'nsecs': 730031043}, 'frame_id': 'base_link'}","{'status': 0, 'service': 1}",55.4699759,10.3295535,54.530556019702445,{'': ''},2
2023/07/13 14:48:00.831837901,"{'stamp': {'secs': 1689252480, 'nsecs': 829622776}, 'frame_id': 'base_link'}","{'status': 0, 'service': 1}",55.4699759,10.3295536,54.53055585400111,{'': ''},2
2023/07/13 14:48:00.930004370,"{'stamp': {'secs': 1689252480, 'nsecs': 929016399}, 'frame_id': 'base_link'}","{'status': 0, 'service': 1}",55.4699759,10.3295537,54.520555688299744,{'': ''},2
2023/07/13 14:48:01.31908267,"{'stamp': {'secs': 1689252481, 'nsecs': 29403367}, 'frame_id': 'base_link'}","{'status': 0, 'service': 1}",55.4699759,10.3295538,54.5205555225984,{'': ''},2
2023/07/13 14:48:01.131864991,"{'stamp': {'secs': 1689252481, 'nsecs': 129709161}, 'frame_id': 'base_link'}","{'status': 0, 'service': 1}",55.4699759,10.3295538,54.5205555225984,{'': ''},2
2023/07/13 14:48:01.234998792,"{'stamp': {'secs': 1689252481, 'nsecs': 230704504}, 'frame_id': 'base_link'}","{'status': 0, 'service': 1}",55.469976,10.3295539,54.52055520318103,{'': ''},2
2023/07/13 14:48:01.336281428,"{'stamp': {'secs': 1689252481, 'nsecs': 330926835}, 'frame_id': 'base_link'}","{'status': 0, 'service': 1}",55.469976,10.3295539,54.52055520318103,{'': ''},2
2023/07/13 14:48:01.434581465,"{'stamp': {'secs': 1689252481, 'nsecs': 431308036}, 'frame_id': 'base_link'}","{'status': 0, 'service': 1}",55.469976,10.329554,54.51055503747965,{'': ''},2
2023/07/13 14:48:01.533721993,"{'stamp': {'secs': 1689252481, 'nsecs': 531481794}, 'frame_id': 'base_link'}","{'status': 0, 'service': 1}",55.4699761,10.3295541,54.51055471806223,{'': ''},2
2023/07/13 14:48:01.630638452,"{'stamp': {'secs': 1689252481, 'nsecs': 628641287}, 'frame_id': 'base_link'}","{'status': 0, 'service': 1}",55.4699761,10.3295541,54.50055471806223,{'': ''},2
2023/07/13 14:48:01.740887568,"{'stamp': {'secs': 1689252481, 'nsecs': 729809609}, 'frame_id': 'base_link'}","{'status': 0, 'service': 1}",55.4699761,10.3295542,54.50055455236085,{'': ''},2
2023/07/13 14:48:01.831615110,"{'stamp': {'secs': 1689252481, 'nsecs': 829807684}, 'frame_id': 'base_link'}","{'status': 0, 'service': 1}",55.4699761,10.3295543,54.500554386659445,{'': ''},2
2023/07/13 14:48:01.932041902,"{'stamp': {'secs': 1689252481, 'nsecs': 929800314}, 'frame_id': 'base_link'}","{'status': 0, 'service': 1}",55.4699762,10.3295543,54.490554232943396,{'': ''},2
